Month,Cbs district,City symbol,Name,City or Regional council,Total jobseekers,Men,Weman,Academic,Non academic,Hh,Unemployed job seekers,Placement from reference,Estimated unemployed rate in city
2010-01,אזור יהודה והשומרון,3760,אורנית,יישוב,83,34,49,36,47,4,83,2,2.22%
2010-01,אזור יהודה והשומרון,3750,אלפי מנשה,יישוב,88,38,50,26,62,5,88,4,2.18%
2010-01,אזור יהודה והשומרון,3560,אלקנה,יישוב,20,12,8,9,11,2,20,2,1.19%
2010-01,אזור יהודה והשומרון,3650,אפרתה,יישוב,48,28,20,18,30,8,48,5,1.37%
2010-01,אזור יהודה והשומרון,3570,אריאל,יישוב,410,189,221,111,299,156,410,16,4.12%
2010-01,אזור יהודה והשומרון,3574,בית אל,יישוב,41,22,19,18,23,15,41,2,1.93%
2010-01,אזור יהודה והשומרון,3652,בית אריה,יישוב,59,28,31,10,49,4,59,0,2.78%
2010-01,אזור יהודה והשומרון,3780,ביתר עילית,יישוב,318,152,166,13,305,181,313,8,3.78%
2010-01,אזור יהודה והשומרון,3730,גבעת זאב,יישוב,153,68,85,25,128,32,153,6,2.55%
2010-01,אזור יהודה והשומרון,3769,הר אדר,יישוב,29,14,15,16,13,4,29,2,1.69%
2010-01,אזור יהודה והשומרון,3797,מודיעין עילית,יישוב,261,98,163,14,247,93,261,8,2.53%
2010-01,אזור יהודה והשומרון,3616,מעלה אדומים,יישוב,590,253,337,93,497,242,584,36,3.32%
2010-01,אזור יהודה והשומרון,3660,עמנואל,יישוב,97,55,42,5,92,74,97,2,10.20%
2010-01,אזור יהודה והשומרון,3557,קדומים,יישוב,22,11,11,7,15,6,22,2,1.38%
2010-01,אזור יהודה והשומרון,3611,קריית ארבע,יישוב,121,64,57,24,97,67,121,4,4.34%
2010-01,אזור יהודה והשומרון,3640,קרני שומרון,יישוב,76,42,34,13,63,23,76,3,2.34%
2010-01,הדרום,31,אופקים,יישוב,1368,579,789,95,1273,1054,1358,39,12.11%
2010-01,הדרום,2600,אילת,יישוב,1534,707,827,73,1461,732,1519,42,4.95%
2010-01,הדרום,70,אשדוד,יישוב,7073,2794,4279,823,6250,4675,7025,180,7.04%
2010-01,הדרום,7100,אשקלון,יישוב,3890,1604,2286,611,3279,2392,3833,214,6.66%
2010-01,הדרום,9000,באר שבע,יישוב,7816,3354,4462,1013,6803,5568,7774,306,8.25%
2010-01,הדרום,2200,דימונה,יישוב,2033,898,1135,138,1895,1502,2009,108,11.53%
2010-01,הדרום,1303,חורה,יישוב,673,308,365,0,673,612,673,4,22.49%
2010-01,הדרום,831,ירוחם,יישוב,428,219,209,32,396,306,419,26,10.19%
2010-01,הדרום,1059,כסיפה,יישוב,947,425,522,1,946,853,946,14,25.60%
2010-01,הדרום,1271,להבים,יישוב,48,24,24,27,21,3,48,4,1.57%
